seed,arm,fit,lambda_1,epoch,train_loss,train_nll,validation_nll
1000,A1,full_refit,0.01,1,0.7131223121687038,0.7119787775585774,nan
1000,A1,full_refit,0.01,2,0.710579929984691,0.7094371160147496,nan
1000,A1,full_refit,0.01,3,0.7080520056288713,0.706909793816318,nan
1000,A1,full_refit,0.01,4,0.7055387686953981,0.704397133597695,nan
1000,A1,full_refit,0.01,5,0.7030404041989806,0.7018993459035168,nan
1000,A1,full_refit,0.01,6,0.7005570705922683,0.6994165791104598,nan
1000,A1,full_refit,0.01,7,0.6980889002779838,0.6969489560868838,nan
1000,A1,full_refit,0.01,8,0.6956359908132131,0.6944965661601122,nan
1000,A1,full_refit,0.01,9,0.6931984003665548,0.6920594630756539,nan
1000,A1,full_refit,0.01,10,0.6907761527276138,0.6896376740895073,nan
1000,A1,full_refit,0.01,11,0.6883692452715078,0.6872312022722356,nan
1000,A1,full_refit,0.01,12,0.68597765467489,0.6848400298032238,nan
1000,A1,full_refit,0.01,13,0.683601338062915,0.6824641189767146,nan
1000,A1,full_refit,0.01,14,0.6812402312090333,0.6801034080319057,nan
1000,A1,full_refit,0.01,15,0.6788942459410633,0.6777578077338783,nan
1000,A1,full_refit,0.01,16,0.6765632671802416,0.6754272003624052,nan
1000,A1,full_refit,0.01,17,0.6742471511123159,0.6731114392093402,nan
1000,A1,full_refit,0.01,18,0.6719457256289577,0.67081035024645,nan
1000,A1,full_refit,0.01,19,0.6696587928872757,0.668523736112789,nan
1000,A1,full_refit,0.01,20,0.6673861326259083,0.6662513795101541,nan
1000,A1,full_refit,0.01,21,0.6651275054887815,0.6639930453340365,nan
1000,A1,full_refit,0.01,22,0.6628826570391071,0.6617484826627301,nan
1000,A1,full_refit,0.01,23,0.6606513227803278,0.6595174279811739,nan
1000,A1,full_refit,0.01,24,0.6584332329761821,0.6572996102454587,nan
1000,A1,full_refit,0.01,25,0.6562281163739703,0.6550947557310481,nan
1000,A1,full_refit,0.01,26,0.6540357029981354,0.6529025917012,nan
1000,A1,full_refit,0.01,27,0.6518557263192003,0.6507228497608364,nan
1000,A1,full_refit,0.01,28,0.6496879247641622,0.6485552686414076,nan
1000,A1,full_refit,0.01,29,0.6475320420950018,0.6463995946553174,nan
1000,A1,full_refit,0.01,30,0.6453878267476872,0.6442555797430194,nan
1000,A1,full_refit,0.01,31,0.6432550309636704,0.6421229788853593,nan
1000,A1,full_refit,0.01,32,0.6411334099867521,0.6400015484466116,nan
1000,A1,full_refit,0.01,33,0.639022720996672,0.6378910454714394,nan
1000,A1,full_refit,0.01,34,0.6369227218943181,0.6357912272363597,nan
1000,A1,full_refit,0.01,35,0.6348331703716125,0.6337018511424467,nan
1000,A1,full_refit,0.01,36,0.632753823412286,0.6316226749977947,nan
1000,A1,full_refit,0.01,37,0.6306844369593053,0.6295534568481886,nan
1000,A1,full_refit,0.01,38,0.6286247655523177,0.6274939538323477,nan
1000,A1,full_refit,0.01,39,0.6265745621049297,0.6254439208869852,nan
1000,A1,full_refit,0.01,40,0.6245335778725427,0.6234031102794263,nan
1000,A1,full_refit,0.01,41,0.6225015624319352,0.6213712718483047,nan
1000,A1,full_refit,0.01,42,0.620478263629674,0.6193481533673136,nan
1000,A1,full_refit,0.01,43,0.6184634275657585,0.6173335008139599,nan
1000,A1,full_refit,0.01,44,0.6164567986367985,0.6153270585649535,nan
1000,A1,full_refit,0.01,45,0.6144581196192441,0.6133285695326987,nan
1000,A1,full_refit,0.01,46,0.6124671317699604,0.6113377752379335,nan
1000,A1,full_refit,0.01,47,0.6104835749445369,0.6093544158476084,nan
1000,A1,full_refit,0.01,48,0.6085071877668943,0.6073782302517522,nan
1000,A1,full_refit,0.01,49,0.6065377079135996,0.6054089562709506,nan
1000,A1,full_refit,0.01,50,0.604574872591134,0.6034463310781544,nan
1000,A2,full_refit,0.01,1,0.7181104054951792,0.7169668708850528,nan
1000,A2,full_refit,0.01,2,0.7155527309992231,0.7144099196472055,nan
1000,A2,full_refit,0.01,3,0.7130093174693277,0.711867195124313,nan
1000,A2,full_refit,0.01,4,0.7104803849625354,0.7093389189996693,nan
1000,A2,full_refit,0.01,5,0.7079661262300925,0.7068252863269302,nan
1000,A2,full_refit,0.01,6,0.7054667004988221,0.7043264595292268,nan
1000,A2,full_refit,0.01,7,0.7029822261306203,0.7018425607731072,nan
1000,A2,full_refit,0.01,8,0.7005127780841566,0.699373668078516,nan
1000,A2,full_refit,0.01,9,0.6980583952246001,0.6969198213096782,nan
1000,A2,full_refit,0.01,10,0.6956190883826636,0.6944810308389007,nan
1000,A2,full_refit,0.01,11,0.6931948406843229,0.6920572793240679,nan
1000,A2,full_refit,0.01,12,0.6907856047872146,0.6896485195941796,nan
1000,A2,full_refit,0.01,13,0.6883913007093024,0.6872546724634628,nan
1000,A2,full_refit,0.01,14,0.6860118141304128,0.6848756248456596,nan
1000,A2,full_refit,0.01,15,0.6836469956036043,0.6825112287887227,nan
1000,A2,full_refit,0.01,16,0.6812966618208814,0.6801613026021494,nan
1000,A2,full_refit,0.01,17,0.678960599564677,0.6778256347060306,nan
1000,A2,full_refit,0.01,18,0.6766385721140981,0.6755039899676107,nan
1000,A2,full_refit,0.01,19,0.6743303272067328,0.673196117621625,nan
1000,A2,full_refit,0.01,20,0.6720356052948495,0.6709017595056629,nan
1000,A2,full_refit,0.01,21,0.6697541468214595,0.6686206573267385,nan
1000,A2,full_refit,0.01,22,0.6674856975765945,0.6663525580111623,nan
1000,A2,full_refit,0.01,23,0.6652300117475395,0.6640972167469911,nan
1000,A2,full_refit,0.01,24,0.6629868528226043,0.661854397879364,nan
1000,A2,full_refit,0.01,25,0.6607559928604879,0.6596238741753524,nan
1000,A2,full_refit,0.01,26,0.6585372107467622,0.6574054250844072,nan
1000,A2,full_refit,0.01,27,0.6563302899927714,0.6551988345504942,nan
1000,A2,full_refit,0.01,28,0.654135016491141,0.6530038887862474,nan
1000,A2,full_refit,0.01,29,0.6519511764966978,0.6508203742717414,nan
1000,A2,full_refit,0.01,30,0.649778554980422,0.6486480761204557,nan
1000,A2,full_refit,0.01,31,0.6476169344114583,0.646486776865796,nan
1000,A2,full_refit,0.01,32,0.6454660939560476,0.6443362556588649,nan
1000,A2,full_refit,0.01,33,0.6433258090403406,0.6421962878282997,nan
1000,A2,full_refit,0.01,34,0.6411958512041304,0.640066644733236,nan
1000,A2,full_refit,0.01,35,0.6390759881709172,0.6379470938375611,nan
1000,A2,full_refit,0.01,36,0.6369659840707856,0.6358373989427967,nan
1000,A2,full_refit,0.01,37,0.6348655997693422,0.6337373205319787,nan
1000,A2,full_refit,0.01,38,0.6327745932716624,0.6316466161914838,nan
1000,A2,full_refit,0.01,39,0.6306927201800394,0.6295650410872381,nan
1000,A2,full_refit,0.01,40,0.6286197341870787,0.6274923484747875,nan
1000,A2,full_refit,0.01,41,0.626555387583618,0.6254282902213149,nan
1000,A2,full_refit,0.01,42,0.6244994317583834,0.6233726173159336,nan
1000,A2,full_refit,0.01,43,0.6224516176669918,0.6213250803460029,nan
1000,A2,full_refit,0.01,44,0.6204116962531738,0.6192854299229829,nan
1000,A2,full_refit,0.01,45,0.6183794188134782,0.6172534170499405,nan
1000,A2,full_refit,0.01,46,0.6163545373053821,0.6152287934314367,nan
1000,A2,full_refit,0.01,47,0.6143368046054131,0.6132113117329538,nan
1000,A2,full_refit,0.01,48,0.6123259747277501,0.6112007258005446,nan
1000,A2,full_refit,0.01,49,0.6103218030154011,0.6091967908526548,nan
1000,A2,full_refit,0.01,50,0.6083240463165008,0.6071992636562363,nan
1001,A1,full_refit,0.01,1,0.7984324947243597,0.797192496663484,nan
1001,A1,full_refit,0.01,2,0.7953581160264314,0.7941184909248288,nan
1001,A1,full_refit,0.01,3,0.7922951893634027,0.7910559076198618,nan
1001,A1,full_refit,0.01,4,0.789243935750361,0.7880049887742773,nan
1001,A1,full_refit,0.01,5,0.7862045159061921,0.7849659021532541,nan
1001,A1,full_refit,0.01,6,0.78317704319041,0.7819387546843629,nan
1001,A1,full_refit,0.01,7,0.7801615738324774,0.7789235998795117,nan
1001,A1,full_refit,0.01,8,0.7771581175999742,0.7759204466634232,nan
1001,A1,full_refit,0.01,9,0.774166652651722,0.7729292720338359,nan
1001,A1,full_refit,0.01,10,0.7711871195958173,0.7699500153976827,nan
1001,A1,full_refit,0.01,11,0.7682194050267288,0.7669825627047926,nan
1001,A1,full_refit,0.01,12,0.7652633298119423,0.7640267349070573,nan
1001,A1,full_refit,0.01,13,0.7623186469069468,0.7610822857102574,nan
1001,A1,full_refit,0.01,14,0.7593850485507834,0.7581489086607559,nan
1001,A1,full_refit,0.01,15,0.7564621805963785,0.7552262513799628,nan
1001,A1,full_refit,0.01,16,0.7535496596975327,0.7523139326687404,nan
1001,A1,full_refit,0.01,17,0.750647088331782,0.7494115574493108,nan
1001,A1,full_refit,0.01,18,0.7477540643281597,0.7465187262062052,nan
1001,A1,full_refit,0.01,19,0.7448701846475089,0.7436350386732244,nan
1001,A1,full_refit,0.01,20,0.7419950455205856,0.7407600938761676,nan
1001,A1,full_refit,0.01,21,0.7391282416080145,0.7378934892031996,nan
1001,A1,full_refit,0.01,22,0.7362693660311774,0.735034820361454,nan
1001,A1,full_refit,0.01,23,0.7334180119030879,0.7321836828577059,nan
1001,A1,full_refit,0.01,24,0.7305737750402431,0.7293396746889553,nan
1001,A1,full_refit,0.01,25,0.7277362570861041,0.7265023994719476,nan
1001,A1,full_refit,0.01,26,0.7249050682664416,0.723671469223776,nan
1001,A1,full_refit,0.01,27,0.7220798292543604,0.7208465062596541,nan
1001,A1,full_refit,0.01,28,0.7192601719645499,0.7180271440162804,nan
1001,A1,full_refit,0.01,29,0.7164457393851232,0.7152130269020894,nan
1001,A1,full_refit,0.01,30,0.7136361847252412,0.7124038094509052,nan
1001,A1,full_refit,0.01,31,0.7108311702051265,0.7095991551084891,nan
1001,A1,full_refit,0.01,32,0.7080303657767926,0.7067987349455988,nan
1001,A1,full_refit,0.01,33,0.7052334479832159,0.7040022265106051,nan
1001,A1,full_refit,0.01,34,0.7024400990767294,0.7012093129460241,nan
1001,A1,full_refit,0.01,35,0.699650006444819,0.6984196824183332,nan
1001,A1,full_refit,0.01,36,0.6968628623401644,0.6956330278570502,nan
1001,A1,full_refit,0.01,37,0.6940783638798669,0.6928490469660188,nan
1001,A1,full_refit,0.01,38,0.6912962132614533,0.6900674424522623,nan
1001,A1,full_refit,0.01,39,0.6885161181359022,0.6872879224107745,nan
1001,A1,full_refit,0.01,40,0.6857377920775783,0.6845102008037973,nan
1001,A1,full_refit,0.01,41,0.6829609550958269,0.6817339979784846,nan
1001,A1,full_refit,0.01,42,0.6801853341418103,0.6789590411760382,nan
1001,A1,full_refit,0.01,43,0.6774106635757502,0.6761850649972266,nan
1001,A1,full_refit,0.01,44,0.674636685572739,0.6734118118024202,nan
1001,A1,full_refit,0.01,45,0.6718631504581776,0.6706390320374351,nan
1001,A1,full_refit,0.01,46,0.6690898169752912,0.667866484488208,nan
1001,A1,full_refit,0.01,47,0.6663164524957725,0.6650939364763301,nan
1001,A1,full_refit,0.01,48,0.6635428331895699,0.6623211640128744,nan
1001,A1,full_refit,0.01,49,0.66076874417084,0.6595479519293127,nan
1001,A1,full_refit,0.01,50,0.6579939796344899,0.6567740940019184,nan
1001,A2,full_refit,0.01,1,0.805333694148894,0.8040936960880183,nan
1001,A2,full_refit,0.01,2,0.8022651499779403,0.801025523627973,nan
1001,A2,full_refit,0.01,3,0.7992079583717769,0.7979686944440463,nan
1001,A2,full_refit,0.01,4,0.796162258599606,0.7949233403438641,nan
1001,A2,full_refit,0.01,5,0.7931281527850673,0.7918895724245538,nan
1001,A2,full_refit,0.01,6,0.7901057538062085,0.7888675041147419,nan
1001,A2,full_refit,0.01,7,0.787095183782395,0.7858572563425884,nan
1001,A2,full_refit,0.01,8,0.7840965487854153,0.7828589337126489,nan
1001,A2,full_refit,0.01,9,0.7811099380332607,0.7798726232290392,nan
1001,A2,full_refit,0.01,10,0.7781354203898369,0.7768983918774202,nan
1001,A2,full_refit,0.01,11,0.7751730371111236,0.7739362801515766,nan
1001,A2,full_refit,0.01,12,0.7722227960810458,0.770986296441782,nan
1001,A2,full_refit,0.01,13,0.7692846677467021,0.7680484129733904,nan
1001,A2,full_refit,0.01,14,0.7663585814711614,0.7651225622639705,nan
1001,A2,full_refit,0.01,15,0.763444421153042,0.7622086329285557,nan
1001,A2,full_refit,0.01,16,0.7605420194204718,0.7593064637507118,nan
1001,A2,full_refit,0.01,17,0.757651152119072,0.7564158368417027,nan
1001,A2,full_refit,0.01,18,0.754771539717904,0.7535364764221661,nan
1001,A2,full_refit,0.01,19,0.7519028585234233,0.7506680590152798,nan
1001,A2,full_refit,0.01,20,0.7490447503251505,0.7478102253018262,nan
1001,A2,full_refit,0.01,21,0.746196823631626,0.7449625835733535,nan
1001,A2,full_refit,0.01,22,0.7433586524682377,0.7421247089933517,nan
1001,A2,full_refit,0.01,23,0.7405297772476743,0.739296144072838,nan
1001,A2,full_refit,0.01,24,0.7377097080697318,0.7364764014726213,nan
1001,A2,full_refit,0.01,25,0.7348979298400736,0.7336649687224203,nan
1001,A2,full_refit,0.01,26,0.7320939086440879,0.7308613143263346,nan
1001,A2,full_refit,0.01,27,0.7292970988102861,0.7280648946994317,nan
1001,A2,full_refit,0.01,28,0.7265069500582148,0.7252751613125803,nan
1001,A2,full_refit,0.01,29,0.7237229141843825,0.7224915674453826,nan
1001,A2,full_refit,0.01,30,0.7209444508941213,0.7197135740947797,nan
1001,A2,full_refit,0.01,31,0.7181710325543529,0.7169406547792696,nan
1001,A2,full_refit,0.01,32,0.7154021477766395,0.7141722991429951,nan
1001,A2,full_refit,0.01,33,0.7126373038477157,0.71140801538717,nan
1001,A2,full_refit,0.01,34,0.7098760281150907,0.708647331648309,nan
1001,A2,full_refit,0.01,35,0.7071178685022205,0.7058897965054861,nan
1001,A2,full_refit,0.01,36,0.7043623933622137,0.703134978828958,nan
1001,A2,full_refit,0.01,37,0.7016091908802053,0.7003824671808575,nan
1001,A2,full_refit,0.01,38,0.6988578682101331,0.6976318689529135,nan
1001,A2,full_refit,0.01,39,0.6961080504930638,0.6948828093871556,nan
1001,A2,full_refit,0.01,40,0.6933593798619792,0.6921349305834607,nan
1001,A2,full_refit,0.01,41,0.6906115144994682,0.6893878905598061,nan
1001,A2,full_refit,0.01,42,0.6878641277839703,0.6866413624009174,nan
1001,A2,full_refit,0.01,43,0.6851169075380896,0.6838950335095101,nan
1001,A2,full_refit,0.01,44,0.6823695553783214,0.6811486049605736,nan
1001,A2,full_refit,0.01,45,0.6796217861576564,0.6784017909513199,nan
1001,A2,full_refit,0.01,46,0.6768733274892705,0.6756543183356963,nan
1001,A2,full_refit,0.01,47,0.6741239193392999,0.6729059262312923,nan
1001,A2,full_refit,0.01,48,0.6713733136784006,0.6701563656871268,nan
1001,A2,full_refit,0.01,49,0.6686212741845468,0.6674053994027247,nan
