seed,arm,lambda_1,validation_nll_final
1000,A1,0.0001,0.608815075377745
1000,A1,0.001,0.6088150308198969
1000,A1,0.01,0.6088146003342721
1000,A2,0.0001,0.6078655376852458
1000,A2,0.001,0.6078654989603532
1000,A2,0.01,0.6078651239174602
1001,A1,0.0001,0.6561145989929792
1001,A1,0.001,0.6561145688623489
1001,A1,0.01,0.6561142814097618
1001,A2,0.0001,0.6618894778934876
1001,A2,0.001,0.6618894496011299
1001,A2,0.01,0.6618891769867961
1002,A1,0.0001,0.6687558015169606
1002,A1,0.001,0.6687557627258296
1002,A1,0.01,0.6687553842620673
1002,A2,0.0001,0.6708871994190079
1002,A2,0.001,0.6708871565077111
1002,A2,0.01,0.670886737542734
1003,A1,0.0001,0.5572798319351859
1003,A1,0.001,0.5572798048050565
1003,A1,0.01,0.5572795415823258
1003,A2,0.0001,0.5549157716085286
1003,A2,0.001,0.5549157429747945
1003,A2,0.01,0.554915466313578
1004,A1,0.0001,0.6328416252326718
1004,A1,0.001,0.6328415818812496
1004,A1,0.01,0.6328411580666747
1004,A2,0.0001,0.6176523719900288
1004,A2,0.001,0.6176523404797758
1004,A2,0.01,0.6176520320765866
1005,A1,0.0001,0.6983934862988614
1005,A1,0.001,0.6983934516095752
1005,A1,0.01,0.6983931148399599
1005,A2,0.0001,0.6953476395751351
1005,A2,0.001,0.6953476116582211
1005,A2,0.01,0.6953473402712265
1006,A1,0.0001,0.6923697881400029
1006,A1,0.001,0.6923697559323465
1006,A1,0.01,0.6923694427151279
1006,A2,0.0001,0.6922451768863184
1006,A2,0.001,0.6922451447344644
1006,A2,0.01,0.6922448325909553
1007,A1,0.0001,0.6555412779372696
1007,A1,0.001,0.6555412373677852
1007,A1,0.01,0.6555408425349326
1007,A2,0.0001,0.6552079855415659
1007,A2,0.001,0.6552079513459018
1007,A2,0.01,0.6552076178167282
1008,A1,0.0001,0.7116659900716692
1008,A1,0.001,0.7116659474606829
1008,A1,0.01,0.7116655321661849
1008,A2,0.0001,0.7127427197887919
1008,A2,0.001,0.7127426832749076
1008,A2,0.01,0.7127423264703019
1009,A1,0.0001,0.6476802276444652
1009,A1,0.001,0.6476801827747055
1009,A1,0.01,0.6476797442361886
1009,A2,0.0001,0.6346813602032055
1009,A2,0.001,0.634681323783377
1009,A2,0.01,0.634680969855712
1010,A1,0.0001,0.559031127357121
1010,A1,0.001,0.559031085657988
1010,A1,0.01,0.5590306781425977
1010,A2,0.0001,0.5602031247502594
1010,A2,0.001,0.5602030712682179
1010,A2,0.01,0.560202552385813
1011,A1,0.0001,0.6182135762625823
1011,A1,0.001,0.6182135344810508
1011,A1,0.01,0.6182131377673379
1011,A2,0.0001,0.6181773230802322
1011,A2,0.001,0.6181772922971172
1011,A2,0.01,0.6181769943275203
1012,A1,0.0001,0.6118893306385045
1012,A1,0.001,0.6118892950758998
1012,A1,0.01,0.6118889497255824
1012,A2,0.0001,0.605817577214114
1012,A2,0.001,0.6058175469616831
1012,A2,0.01,0.6058172527331611
1013,A1,0.0001,0.5015630783575201
1013,A1,0.001,0.5015630194472372
1013,A1,0.01,0.5015624461252345
1013,A2,0.0001,0.4941248730219403
1013,A2,0.001,0.494124816397002
1013,A2,0.01,0.4941242671580606
1014,A1,0.0001,0.712231818888769
1014,A1,0.001,0.7122317858189252
1014,A1,0.01,0.7122314667711441
1014,A2,0.0001,0.7130688914967392
1014,A2,0.001,0.7130688573756481
1014,A2,0.01,0.7130685275867966
1015,A1,0.0001,0.5864538613092255
1015,A1,0.001,0.586453824963772
1015,A1,0.01,0.5864534716616385
1015,A2,0.0001,0.5821390430248385
1015,A2,0.001,0.5821390070429987
1015,A2,0.01,0.5821386579540733
1016,A1,0.0001,0.514760064760255
1016,A1,0.001,0.5147600043592298
1016,A1,0.01,0.5147594210331449
1016,A2,0.0001,0.5077473345334944
1016,A2,0.001,0.5077472854816301
1016,A2,0.01,0.5077468129629292
1017,A1,0.0001,0.599629894118433
1017,A1,0.001,0.5996298538104605
1017,A1,0.01,0.5996294624979702
1017,A2,0.0001,0.603066249104117
1017,A2,0.001,0.6030662066813417
1017,A2,0.01,0.6030657958583074
1018,A1,0.0001,0.6606584389240502
1018,A1,0.001,0.6606583978673838
1018,A1,0.01,0.660657996859275
1018,A2,0.0001,0.6616871196076963
