arm,auroc,calibration_path,lambda_1,method,precision_at_10,precision_at_25,seed,selected_gamma,selected_kappa,status,train_rate
A1,0.6933650268706076,gamma-bisection,0.01,B1_in_degree,1.0,0.92,1000,-4.02490234375,1.0,ELIGIBLE,0.04004807692307692
A1,0.5715171558495246,gamma-bisection,0.01,B2_age_x_popularity,0.7,0.6,1000,-4.02490234375,1.0,ELIGIBLE,0.04004807692307692
A1,0.795473336089293,gamma-bisection,0.01,B3_fragility_only,1.0,0.92,1000,-4.02490234375,1.0,ELIGIBLE,0.04004807692307692
A1,0.6931583298883834,gamma-bisection,0.01,B4_CFHM,0.8,0.72,1000,-4.02490234375,1.0,ELIGIBLE,0.04004807692307692
A2,0.6396096306685367,gamma-bisection,0.01,B1_in_degree,0.9,0.68,1000,-3.712158203125,1.0,ELIGIBLE,0.04
A2,0.5977092099111735,gamma-bisection,0.01,B2_age_x_popularity,0.8,0.84,1000,-3.712158203125,1.0,ELIGIBLE,0.04
A2,0.7226507713884992,gamma-bisection,0.01,B3_fragility_only,1.0,0.96,1000,-3.712158203125,1.0,ELIGIBLE,0.04
A2,0.5080645161290323,gamma-bisection,0.01,B4_CFHM,0.8,0.68,1000,-3.712158203125,1.0,ELIGIBLE,0.04
A1,0.7856783413848631,gamma-bisection,0.01,B1_in_degree,1.0,0.88,1001,-4.173583984375,1.0,ELIGIBLE,0.040096153846153844
A1,0.4915458937198068,gamma-bisection,0.01,B2_age_x_popularity,0.5,0.4,1001,-4.173583984375,1.0,ELIGIBLE,0.040096153846153844
A1,0.8580917874396135,gamma-bisection,0.01,B3_fragility_only,0.9,0.96,1001,-4.173583984375,1.0,ELIGIBLE,0.040096153846153844
A1,0.6937399355877617,gamma-bisection,0.01,B4_CFHM,0.9,0.84,1001,-4.173583984375,1.0,ELIGIBLE,0.040096153846153844
A2,0.6474809313528703,gamma-bisection,0.01,B1_in_degree,0.8,0.76,1001,-4.3701171875,1.0,ELIGIBLE,0.04
A2,0.5557005218787635,gamma-bisection,0.01,B2_age_x_popularity,0.5,0.6,1001,-4.3701171875,1.0,ELIGIBLE,0.04
A2,0.7191890806904857,gamma-bisection,0.01,B3_fragility_only,0.9,0.92,1001,-4.3701171875,1.0,ELIGIBLE,0.04
