seed,arm,method,node,label,score
1000,A1,B3_fragility_only,167,1,0.1746638094074623
1000,A1,B3_fragility_only,195,1,0.1679683168132318
1000,A1,B3_fragility_only,183,1,0.1662043104298361
1000,A1,B3_fragility_only,191,1,0.1659422806485697
1000,A1,B3_fragility_only,199,1,0.1604279223650206
1000,A1,B3_fragility_only,174,1,0.1505138244034705
1000,A1,B3_fragility_only,180,1,0.144322783857562
1000,A1,B3_fragility_only,114,1,0.1342552405788214
1000,A1,B3_fragility_only,138,1,0.128889001532199
1000,A1,B3_fragility_only,149,1,0.1158284134498795
1000,A1,B3_fragility_only,104,1,0.1087282489805123
1000,A1,B3_fragility_only,123,0,0.1069986642145563
1000,A1,B3_fragility_only,99,1,0.1067582209870679
1000,A1,B3_fragility_only,182,1,0.102560600391692
1000,A1,B3_fragility_only,175,1,0.0943027470740211
1000,A1,B3_fragility_only,173,1,0.0941925847124122
1000,A1,B3_fragility_only,188,1,0.0939181858929765
1000,A1,B3_fragility_only,177,1,0.0922399004197915
1000,A1,B3_fragility_only,194,1,0.091083275974526
1000,A1,B3_fragility_only,141,1,0.0887312360463605
1000,A1,B3_fragility_only,139,1,0.0886333890039562
1000,A1,B3_fragility_only,121,0,0.0872688407285753
1000,A1,B3_fragility_only,157,1,0.0841908312916263
1000,A1,B3_fragility_only,192,1,0.0833103583404815
1000,A1,B3_fragility_only,118,1,0.0819326208269422
1000,A1,B4_CFHM,191,1,14.642866755363556
1000,A1,B4_CFHM,174,1,14.27751693270538
1000,A1,B4_CFHM,184,1,14.14034751093995
1000,A1,B4_CFHM,167,1,14.031710443411429
1000,A1,B4_CFHM,192,1,13.957673925507269
1000,A1,B4_CFHM,180,1,13.924147448348728
1000,A1,B4_CFHM,181,1,13.918082519608578
1000,A1,B4_CFHM,150,0,13.814416564439869
1000,A1,B4_CFHM,125,0,13.67486104247362
1000,A1,B4_CFHM,149,1,13.6159578302198
1000,A1,B4_CFHM,124,1,13.560502869584605
1000,A1,B4_CFHM,157,1,13.483724376906116
1000,A1,B4_CFHM,161,1,13.370421817319643
1000,A1,B4_CFHM,114,1,13.307963656130676
1000,A1,B4_CFHM,131,1,13.281082843725228
1000,A1,B4_CFHM,141,1,13.26075786903917
1000,A1,B4_CFHM,56,1,13.22428941540615
1000,A1,B4_CFHM,86,0,13.139339637623204
1000,A1,B4_CFHM,123,0,13.126624925110544
