seed,arm,lambda_1,cfhm_taus,b3_taus,cfhm_mean_tau,b3_mean_tau,cfhm_gate,b3_gate
1000,A1,0.01,"[0.23165829145728645, 0.15919597989949746, 0.04814070351758794, 0.1344723618090452, 0.07527638190954773, 0.11125628140703517, 0.04462311557788944, 0.07829145728643215, 0.14603015075376885, 0.07688442211055276]","[0.28874371859296477, 0.22623115577889444, 0.24994974874371859, 0.22110552763819094, 0.2952763819095477, 0.28432160804020096, 0.2573869346733668, 0.2908542713567839, 0.25437185929648237, 0.22120603015075374]",0.1105829145728643,0.2589447236180904,False,False
1000,A2,0.01,"[0.09226130653266332, -0.052462311557788945, 0.1093467336683417, -0.017587939698492462, 0.10160804020100501, 0.07206030150753769, 0.08552763819095477, 0.06241206030150754, 0.01608040201005025, 0.046432160804020094]","[0.1514572864321608, 0.09276381909547737, 0.05909547738693467, 0.07668341708542713, 0.11316582914572863, 0.06472361809045225, 0.05266331658291457, 0.07386934673366834, 0.08673366834170854, 0.11788944723618089]",0.0515678391959798,0.0889045226130653,False,False
1001,A1,0.01,"[0.34281407035175876, 0.17537688442211052, 0.14834170854271356, 0.21839195979899495, 0.2829145728643216, 0.2526633165829146, 0.32914572864321606, 0.030653266331658293, 0.28201005025125625, 0.3796984924623115]","[0.34693467336683415, 0.40150753768844216, 0.4565829145728643, 0.4704522613065326, 0.4429145728643216, 0.4212060301507537, 0.4057286432160804, 0.4244221105527638, 0.3910552763819095, 0.4095477386934673]",0.2442010050251256,0.4170351758793969,False,False
1001,A2,0.01,"[0.1107537688442211, 0.053768844221105526, 0.24100502512562816, 0.23175879396984925, 0.25718592964824116, 0.22452261306532662, 0.2451256281407035, 0.18100502512562813, 0.16211055276381908, -0.015778894472361808]","[0.3323618090452261, 0.32904522613065323, 0.43427135678391954, 0.39195979899497485, 0.464321608040201, 0.4536683417085427, 0.3993969849246231, 0.3804020100502512, 0.3931658291457286, 0.3709547738693467]",0.1691457286432161,0.3949547738693467,False,False
1002,A1,0.01,"[0.07376884422110552, -0.02773869346733668, -0.00492462311557789, -0.03125628140703517, 0.10844221105527638, -0.03658291457286432, 0.05487437185929648, 0.008140703517587939, -0.02381909547738693, -0.00964824120603015]","[0.14603015075376885, 0.17115577889447234, 0.08160804020100502, 0.12331658291457287, 0.08402010050251256, 0.08633165829145728, 0.1164824120603015, 0.1015075376884422, 0.24311557788944724, 0.12261306532663317]",0.0111256281407035,0.1276180904522613,False,False
1002,A2,0.01,"[0.009346733668341708, -0.06190954773869346, -0.05728643216080402, 0.01557788944723618, 0.012663316582914572, 0.05055276381909547, -0.005527638190954773, 0.06351758793969849, -0.059597989949748735, 0.004221105527638191]","[0.08904522613065327, 0.047336683417085426, 0.035175879396984924, -0.004623115577889447, 0.07668341708542713, -0.006231155778894472, 0.12050251256281408, 0.05015075376884422, 0.001909547738693467, 0.037788944723618094]",-0.0028442211055276,0.0447738693467336,False,False
1003,A1,0.01,"[-0.06271356783919597, 0.0033165829145728643, 0.0692462311557789, -0.019999999999999997, 0.02281407035175879, -0.023919597989949744, 0.15748743718592964, 0.07889447236180903, -0.009045226130653266, 0.025125628140703515]","[0.09135678391959798, 0.17417085427135678, 0.09839195979899497, 0.08452261306532663, 0.10482412060301506, 0.084321608040201, 0.17618090452261306, 0.07035175879396985, 0.0007035175879396985, 0.046432160804020094]",0.0241206030150753,0.0931256281407035,False,False
1003,A2,0.01,"[0.04844221105527638, 0.07658291457286431, 0.02603015075376884, 0.03819095477386934, -0.01608040201005025, 0.05417085427135678, 0.0714572864321608, 0.029648241206030147, -0.022110552763819093, -0.0005025125628140703]","[0.1671356783919598, 0.018190954773869346, 0.03527638190954773, 0.12552763819095478, 0.06180904522613064, 0.09407035175879397, 0.1971859296482412, 0.04271356783919598, 0.09809045226130653, 0.13728643216080402]",0.0305829145728643,0.0977286432160804,False,False
1004,A1,0.01,"[-0.04974874371859296, -0.07467336683417085, 0.08331658291457286, 0.1677386934673367, -0.06743718592964824, 0.09306532663316583, 0.04050251256281407, 0.09869346733668341, 0.042914572864321605, 0.011959798994974872]","[-0.0735678391959799, 0.04743718592964824, 0.014874371859296482, 0.025125628140703515, 0.03939698492462312, -0.007236180904522612, -0.07537688442211055, 0.09447236180904522, -0.01135678391959799, 0.0801005025125628]",0.0346331658291457,0.0133869346733668,False,False
1004,A2,0.01,"[-0.0771859296482412, 0.05758793969849246, -0.05889447236180904, 0.03608040201005025, -0.06482412060301507, 0.044422110552763815, -0.026130653266331655, 0.05035175879396985, -0.04844221105527638, -0.035477386934673366]","[0.0815075376884422, 0.021909547738693465, 0.09638190954773868, 0.0822110552763819, 0.01638190954773869, 0.09306532663316583, -0.027336683417085426, -0.056582914572864317, 0.057788944723618084, 0.058693467336683416]",-0.012251256281407,0.0424020100502512,False,False
