seed,arm,variant,p_at_25,S_major,S_minor,S_advisory,spearman_rho
1000,A1,V-REFIT,0.72,0.016286008171011557,0.016285802691637867,0.016285407525629885,0.33333333333333337
1000,A1,V-A0,0.72,,,,
1000,A1,V-ORAC,0.96,0.01795088455349315,0.017950731988971656,0.017390361603242765,0.5797509043642028
1000,A1,V-B3R,0.92,,,,
1000,A2,V-REFIT,0.68,0.016286579456825427,0.01628656954388021,0.016286499458644653,-0.19999999999999998
1000,A2,V-A0,0.68,,,,
1000,A2,V-ORAC,1.0,0.016828966816767807,0.017388215675839445,0.016829640327303934,0.05270462766947299
1000,A2,V-B3R,0.96,,,,
1001,A1,V-REFIT,0.84,0.016282744643487404,0.016282551723280265,0.016282145806465777,0.06666666666666667
1001,A1,V-A0,0.84,,,,
1001,A1,V-ORAC,0.96,0.01738951052111153,0.01795005077445863,0.017389657261697018,0.05270462766947299
1001,A1,V-B3R,0.96,,,,
1001,A2,V-REFIT,0.72,0.016283679183254157,0.016283580189698575,0.01628322862541696,-0.2833333333333333
1001,A2,V-A0,0.72,,,,
1001,A2,V-ORAC,0.84,0.016828388608901127,0.017389816546241228,0.01683048885962706,0.10540925533894598
1001,A2,V-B3R,0.92,,,,
1002,A1,V-REFIT,0.56,0.01628779747645872,0.016287628168343525,0.01628802503892911,-0.7
1002,A1,V-A0,0.56,,,,
1002,A1,V-ORAC,0.96,0.017389857496290153,0.017947773481234185,0.017389775091649674,0.10540925533894598
1002,A1,V-B3R,0.96,,,,
1002,A2,V-REFIT,0.52,0.016287799951412312,0.016287899704677995,0.016287801685332462,-0.65
1002,A2,V-A0,0.52,,,,
1002,A2,V-ORAC,0.96,0.017385423716399135,0.01794550363818655,0.017390151329226736,-0.10540925533894598
1002,A2,V-B3R,0.92,,,,
1003,A1,V-REFIT,0.72,0.01628156213214739,0.016281840141321773,0.01628153570963413,-0.5
1003,A1,V-A0,0.72,,,,
1003,A1,V-ORAC,0.88,0.017390381229370925,0.01795061097552921,0.01738943225323614,0.15811388300841894
1003,A1,V-B3R,0.88,,,,
1003,A2,V-REFIT,0.64,0.01628121236122345,0.016282118934972133,0.016281787010109888,-0.65
1003,A2,V-A0,0.6,,,,
1003,A2,V-ORAC,0.88,0.017390764461034568,0.017946887997096594,0.01739072323687505,0.05270462766947299
1003,A2,V-B3R,0.68,,,,
1004,A1,V-REFIT,0.36,0.016289101937647658,0.016288348427288216,0.016287844660242117,0.5666666666666667
1004,A1,V-A0,0.4,,,,
1004,A1,V-ORAC,1.0,0.017950452835044393,0.017950026055629124,0.017390126228996848,0.5797509043642028
1004,A1,V-B3R,1.0,,,,
1004,A2,V-REFIT,0.44,0.016288480882306874,0.01628869524435713,0.016288295250321112,-0.25
1004,A2,V-A0,0.44,,,,
1004,A2,V-ORAC,0.84,0.01739118269463773,0.017950561385643087,0.017947050521746184,0.10540925533894598
1004,A2,V-B3R,0.8,,,,
1005,A1,V-REFIT,0.96,0.016283964741623955,0.01628426440336987,0.01628450090123852,-0.9666666666666667
1005,A1,V-A0,0.96,,,,
1005,A1,V-ORAC,0.96,0.017387208777273535,0.01794260275555809,0.01738824662580816,0.05270462766947299
1005,A1,V-B3R,0.96,,,,
1005,A2,V-REFIT,0.64,0.016284832271790565,0.016285113846988775,0.016285046973974725,-0.8166666666666667
1005,A2,V-A0,0.6,,,,
1005,A2,V-ORAC,0.84,0.0173882419905694,0.01793677237404445,0.017390005528035136,0.05270462766947299
1005,A2,V-B3R,0.76,,,,
1006,A1,V-REFIT,0.88,0.016283161604028845,0.01628332040722462,0.016281913349683833,0.11666666666666665
1006,A1,V-A0,0.96,,,,
1006,A1,V-ORAC,0.96,0.01739025450629212,0.01794917192582653,0.017389677258694156,0.21081851067789195
1006,A1,V-B3R,1.0,,,,
1006,A2,V-REFIT,0.8,0.01628352174622013,0.016283922140855743,0.01628305206169518,-0.016666666666666666
1006,A2,V-A0,0.84,,,,
1006,A2,V-ORAC,0.92,0.017388734753848355,0.017938554217403674,0.017390244228155282,0.05270462766947299
1006,A2,V-B3R,0.92,,,,
1007,A1,V-REFIT,1.0,0.016286362322459235,0.016286995893424784,0.01628653447291466,-0.5333333333333333
1007,A1,V-A0,1.0,,,,
1007,A1,V-ORAC,1.0,0.017390303493250037,0.01795008939546685,0.01739041839460951,0.05270462766947299
1007,A1,V-B3R,1.0,,,,
1007,A2,V-REFIT,0.72,0.016286517043345182,0.016286997176825545,0.01628643338326653,-0.31666666666666665
1007,A2,V-A0,0.76,,,,
1007,A2,V-ORAC,1.0,0.016830516125401346,0.017388885835535738,0.017368026186501698,-0.15811388300841894
1007,A2,V-B3R,0.84,,,,
1008,A1,V-REFIT,0.92,0.016285179346155504,0.016285568784136856,0.016285608133875414,-0.9166666666666666
1008,A1,V-A0,0.92,,,,
1008,A1,V-ORAC,0.96,0.017382959530152044,0.017949747595008572,0.017389942448963493,0.10540925533894598
1008,A1,V-B3R,0.88,,,,
1008,A2,V-REFIT,0.84,0.016285442511336866,0.016285776985759358,0.016286044693757808,-0.9333333333333332
1008,A2,V-A0,0.84,,,,
1008,A2,V-ORAC,0.88,0.017390312831494514,0.017385730130424014,0.01738933717178716,0.15811388300841894
1008,A2,V-B3R,0.92,,,,
1009,A1,V-REFIT,0.92,0.01628739867742147,0.016287532563064595,0.016287530981361233,-0.6833333333333333
1009,A1,V-A0,0.92,,,,
1009,A1,V-ORAC,0.92,0.01739040748897628,0.01794851609893989,0.017390062891767505,0.15811388300841894
1009,A1,V-B3R,0.8,,,,
1009,A2,V-REFIT,0.84,0.01628721497448347,0.016287422099478685,0.016287427805656007,-0.75
1009,A2,V-A0,0.84,,,,
1009,A2,V-ORAC,0.8,0.017391234579589757,0.017950444661175124,0.017391021251649028,-0.05270462766947299
1009,A2,V-B3R,0.88,,,,
1010,A1,V-REFIT,0.8,0.016287318900815827,0.01628778966353215,0.01628736502151285,-0.5833333333333334
1010,A1,V-A0,0.8,,,,
1010,A1,V-ORAC,0.88,0.01739053512445258,0.017949878650886344,0.01738997935184504,0.21081851067789195
1010,A1,V-B3R,0.92,,,,
1010,A2,V-REFIT,0.44,0.016287266361234065,0.016287342523705818,0.01628705594718797,-0.5666666666666667
1010,A2,V-A0,0.4,,,,
1010,A2,V-ORAC,0.88,0.017391143993545976,0.01794871859704136,0.01739119268631394,-0.05270462766947299
1010,A2,V-B3R,0.88,,,,
1011,A1,V-REFIT,0.88,0.016282523530251638,0.01628373364368428,0.01628298157946497,-0.6
1011,A1,V-A0,0.84,,,,
1011,A1,V-ORAC,1.0,0.017388765481309618,0.017949112091408072,0.017389831211404028,0.10540925533894598
1011,A1,V-B3R,1.0,,,,
1011,A2,V-REFIT,0.88,0.01628347559864829,0.016284482725893102,0.016284859676122972,-0.8666666666666667
1011,A2,V-A0,0.84,,,,
1011,A2,V-ORAC,1.0,0.0168302342915579,0.017389698161950552,0.016830069520471433,0.05270462766947299
1011,A2,V-B3R,1.0,,,,
1012,A1,V-REFIT,0.68,0.016284497229495452,0.016284391749683123,0.01628407642320991,0.06666666666666667
1012,A1,V-A0,0.68,,,,
1012,A1,V-ORAC,0.96,0.017390223885410304,0.017949568670225548,0.017389869121005444,0.10540925533894598
1012,A1,V-B3R,0.88,,,,
1012,A2,V-REFIT,0.64,0.016284310227140775,0.016284475958266872,0.016284190800772272,-0.43333333333333335
1012,A2,V-A0,0.64,,,,
1012,A2,V-ORAC,0.88,0.016829202443558514,0.017390253102556374,0.017388769799786482,-0.10540925533894598
1012,A2,V-B3R,0.84,,,,
1013,A1,V-REFIT,0.68,0.016291813748094932,0.016291942504846894,0.016291624096324675,-0.5833333333333334
1013,A1,V-A0,0.8,,,,
1013,A1,V-ORAC,0.96,0.017390465189773684,0.017950236064308147,0.017389464293721044,0.15811388300841894
1013,A1,V-B3R,0.96,,,,
1013,A2,V-REFIT,0.72,0.016291486955369694,0.01629189504517342,0.01629147772741954,-0.6666666666666667
1013,A2,V-A0,0.76,,,,
1013,A2,V-ORAC,0.88,0.017390668318097734,0.017949964083039914,0.017390749456311364,-0.05270462766947299
1013,A2,V-B3R,0.84,,,,
1014,A1,V-REFIT,0.52,0.016283287154001895,0.016283685086496535,0.016282916111004384,-0.26666666666666666
1014,A1,V-A0,0.52,,,,
1014,A1,V-ORAC,1.0,0.017386859587835334,0.017387713908928563,0.017372587366040616,0.15811388300841894
1014,A1,V-B3R,1.0,,,,
1014,A2,V-REFIT,0.44,0.016283852029633346,0.016284323428971632,0.016283494913950383,-0.26666666666666666
1014,A2,V-A0,0.48,,,,
1014,A2,V-ORAC,0.96,0.017389569606708698,0.01738934796770764,0.017390470842948143,-0.05270462766947299
1014,A2,V-B3R,0.92,,,,
1015,A1,V-REFIT,0.6,0.016283440945520405,0.01628390918422679,0.016284229532742688,-0.9
1015,A1,V-A0,0.56,,,,
1015,A1,V-ORAC,1.0,0.017390332761510176,0.01738928909837818,0.017388994846498924,0.15811388300841894
1015,A1,V-B3R,1.0,,,,
1015,A2,V-REFIT,0.52,0.01628402805409669,0.01628457155887734,0.016284948516740925,-0.9
1015,A2,V-A0,0.56,,,,
1015,A2,V-ORAC,0.96,0.01683116035599541,0.017390304437127982,0.016830100212412984,0.10540925533894598
1015,A2,V-B3R,0.96,,,,
1016,A1,V-REFIT,0.92,0.016290497991746703,0.016290973311309947,0.016290850124141068,-0.7833333333333333
1016,A1,V-A0,0.88,,,,
1016,A1,V-ORAC,0.96,0.017390245614173197,0.01794930306123507,0.01738996351598079,0.15811388300841894
1016,A1,V-B3R,0.96,,,,
1016,A2,V-REFIT,0.72,0.01629007264545554,0.01629068422416729,0.016291060971440008,-0.9500000000000001
1016,A2,V-A0,0.76,,,,
1016,A2,V-ORAC,1.0,0.01738941244989773,0.01739024285041184,0.017390084017479268,-0.05270462766947299
1016,A2,V-B3R,0.92,,,,
1017,A1,V-REFIT,0.64,0.01628638436174577,0.01628653533835385,0.01628565876676225,-0.09999999999999999
1017,A1,V-A0,0.6,,,,
1017,A1,V-ORAC,0.88,0.017890216301046438,0.017950472298644524,0.01739038815081829,0.15811388300841894
1017,A1,V-B3R,0.88,,,,
1017,A2,V-REFIT,0.68,0.016286182629691566,0.016286230013857962,0.016285516232110477,-0.09999999999999999
1017,A2,V-A0,0.64,,,,
1017,A2,V-ORAC,0.92,0.01683107337097883,0.017387581581491472,0.01683049927398917,0.15811388300841894
1017,A2,V-B3R,0.92,,,,
1018,A1,V-REFIT,0.68,0.016285709942815287,0.016285910256071214,0.0162856565042677,-0.2333333333333333
1018,A1,V-A0,0.72,,,,
1018,A1,V-ORAC,0.96,0.01739047438763005,0.017950165381788667,0.01739053564147569,0.10540925533894598
1018,A1,V-B3R,1.0,,,,
1018,A2,V-REFIT,0.68,0.01628527994008634,0.016285471616649345,0.016285705543498015,-0.8666666666666667
1018,A2,V-A0,0.72,,,,
1018,A2,V-ORAC,0.88,0.017391002221809816,0.017948971985105613,0.01739118578060473,-0.10540925533894598
1018,A2,V-B3R,0.76,,,,
1019,A1,V-REFIT,0.48,0.016287053515844196,0.016287426930450884,0.016287785578305715,-0.9166666666666666
1019,A1,V-A0,0.48,,,,
1019,A1,V-ORAC,0.96,0.017944926575074824,0.01795042308711838,0.017948007445401294,0.10540925533894598
1019,A1,V-B3R,0.84,,,,
1019,A2,V-REFIT,0.6,0.016286982686404973,0.016287355501673442,0.01628757153873301,-0.8666666666666667
1019,A2,V-A0,0.56,,,,
1019,A2,V-ORAC,0.88,0.017391039912938208,0.01794896038502823,0.01739100865375603,0.05270462766947299
1019,A2,V-B3R,0.8,,,,
1020,A1,V-REFIT,0.48,0.016281783099239402,0.016282119976294772,0.016282910863802187,-0.9
1020,A1,V-A0,0.44,,,,
1020,A1,V-ORAC,0.88,0.01794851285142795,0.017950012862469215,0.01738996616460551,0.2635231383473649
1020,A1,V-B3R,0.88,,,,
1020,A2,V-REFIT,0.2,0.016282210894358377,0.016282645376738777,0.01628315781322901,-0.9
1020,A2,V-A0,0.2,,,,
1020,A2,V-ORAC,0.88,0.017390615740430097,0.0173884947292589,0.017390710191235406,-0.05270462766947299
1020,A2,V-B3R,0.96,,,,
1021,A1,V-REFIT,0.56,0.01629114961755162,0.01629176186261508,0.016291591921080983,-0.7833333333333333
1021,A1,V-A0,0.48,,,,
1021,A1,V-ORAC,0.92,0.017390460490255992,0.017950337998493986,0.01738978174333089,0.15811388300841894
1021,A1,V-B3R,0.88,,,,
1021,A2,V-REFIT,0.64,0.016291016248611827,0.016291969269965813,0.01629158199313352,-0.7666666666666667
1021,A2,V-A0,0.64,,,,
1021,A2,V-ORAC,0.96,0.016827578143886877,0.017389896276291058,0.01738985937244917,-0.21081851067789195
1021,A2,V-B3R,0.88,,,,
1022,A1,V-REFIT,0.76,0.016285219066412726,0.01628578547387833,0.016285474968602137,-0.7833333333333333
1022,A1,V-A0,0.76,,,,
1022,A1,V-ORAC,1.0,0.017390307355128073,0.01738903734397628,0.01739022349197626,0.15811388300841894
1022,A1,V-B3R,0.88,,,,
1022,A2,V-REFIT,0.88,0.016286152797296085,0.016286715330883057,0.01628662066939221,-0.8666666666666667
1022,A2,V-A0,0.88,,,,
1022,A2,V-ORAC,0.88,0.017373902804733037,0.01738893302774187,0.016824818279327507,0.3689323936863109
1022,A2,V-B3R,0.92,,,,
1023,A1,V-REFIT,0.8,0.016287063204173436,0.016287336913368814,0.01628691406719638,-0.5666666666666667
1023,A1,V-A0,0.92,,,,
1023,A1,V-ORAC,0.96,0.017389763672491818,0.01751327121550235,0.017388966639433293,0.10540925533894598
1023,A1,V-B3R,0.96,,,,
1023,A2,V-REFIT,0.72,0.01628891175189006,0.01628900948585093,0.016288622328253947,-0.5666666666666667
1023,A2,V-A0,0.72,,,,
1023,A2,V-ORAC,0.96,0.016830436712053476,0.01738636678723334,0.016830521000789005,-0.05270462766947299
1023,A2,V-B3R,0.96,,,,
