seed,arm,p_at_25_refit,p_at_25_v2stored_B4,delta_s
1000,A1,0.72,0.72,0.0
1000,A2,0.68,0.68,0.0
1001,A1,0.84,0.84,0.0
1001,A2,0.72,0.72,0.0
1002,A1,0.56,0.56,0.0
1002,A2,0.52,0.52,0.0
1003,A1,0.72,0.72,0.0
1003,A2,0.64,0.64,0.0
1004,A1,0.36,0.36,0.0
1004,A2,0.44,0.44,0.0
1005,A1,0.96,0.96,0.0
1005,A2,0.64,0.64,0.0
1006,A1,0.88,0.88,0.0
1006,A2,0.8,0.8,0.0
1007,A1,1.0,1.0,0.0
1007,A2,0.72,0.72,0.0
1008,A1,0.92,0.92,0.0
1008,A2,0.84,0.84,0.0
1009,A1,0.92,0.92,0.0
1009,A2,0.84,0.84,0.0
1010,A1,0.8,0.8,0.0
1010,A2,0.44,0.44,0.0
1011,A1,0.88,0.88,0.0
1011,A2,0.88,0.88,0.0
1012,A1,0.68,0.68,0.0
1012,A2,0.64,0.64,0.0
1013,A1,0.68,0.68,0.0
1013,A2,0.72,0.72,0.0
1014,A1,0.52,0.52,0.0
1014,A2,0.44,0.44,0.0
1015,A1,0.6,0.6,0.0
1015,A2,0.52,0.52,0.0
1016,A1,0.92,0.92,0.0
1016,A2,0.72,0.72,0.0
1017,A1,0.64,0.64,0.0
1017,A2,0.68,0.68,0.0
1018,A1,0.68,0.68,0.0
1018,A2,0.68,0.68,0.0
1019,A1,0.48,0.48,0.0
1019,A2,0.6,0.6,0.0
1020,A1,0.48,0.48,0.0
1020,A2,0.2,0.2,0.0
1021,A1,0.56,0.56,0.0
1021,A2,0.64,0.64,0.0
1022,A1,0.76,0.76,0.0
1022,A2,0.88,0.88,0.0
1023,A1,0.8,0.8,0.0
1023,A2,0.72,0.72,0.0
1024,A1,0.68,0.68,0.0
1024,A2,0.6,0.6,0.0
1025,A1,0.8,0.8,0.0
1025,A2,0.56,0.56,0.0
1026,A1,0.52,0.52,0.0
1026,A2,0.72,0.72,0.0
1027,A1,0.92,0.92,0.0
1027,A2,0.56,0.56,0.0
1028,A1,1.0,1.0,0.0
1028,A2,0.84,0.84,0.0
1029,A1,0.48,0.48,0.0
1029,A2,0.48,0.48,0.0
1030,A1,0.8,0.8,0.0
1030,A2,0.6,0.6,0.0
1031,A1,0.92,0.92,0.0
1031,A2,0.84,0.84,0.0
1032,A1,0.88,0.88,0.0
1032,A2,0.8,0.8,0.0
1033,A1,0.84,0.84,0.0
1033,A2,0.88,0.88,0.0
1034,A1,0.96,0.96,0.0
1034,A2,0.68,0.68,0.0
1035,A1,0.6,0.6,0.0
1035,A2,0.76,0.76,0.0
1036,A1,0.84,0.84,0.0
1036,A2,0.56,0.56,0.0
1037,A1,0.72,0.72,0.0
1037,A2,0.6,0.6,0.0
1038,A1,1.0,1.0,0.0
1038,A2,0.8,0.8,0.0
1039,A1,0.72,0.72,0.0
1039,A2,0.56,0.56,0.0
1040,A1,0.92,0.92,0.0
1040,A2,0.76,0.76,0.0
1041,A1,0.68,0.68,0.0
1041,A2,0.6,0.6,0.0
1042,A1,0.28,0.28,0.0
1042,A2,0.4,0.4,0.0
1043,A1,0.68,0.68,0.0
1043,A2,0.76,0.76,0.0
1044,A1,0.52,0.52,0.0
1044,A2,0.48,0.48,0.0
1045,A1,0.64,0.64,0.0
1045,A2,0.64,0.64,0.0
1046,A1,0.44,0.44,0.0
1046,A2,0.56,0.56,0.0
1047,A1,0.76,0.76,0.0
1047,A2,0.8,0.8,0.0
1048,A1,0.88,0.88,0.0
1048,A2,0.8,0.8,0.0
1049,A1,0.96,0.96,0.0
1049,A2,0.8,0.8,0.0
